Timestamp,country,age,Did you ever had a dog?,What is your education due to the dog's behavior?,Do you think that is shown in this video?,What makes a dog in this video?,What happens to the dog?,dog beieves its real,"On a scale of 1 to 5 vote, how useful do you think happens to the dog? (1 - bad, 5 - useful)",,,
5/13/2016 22:57,Russia,22,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Trying to catch a non-existent object,Catches and digging,Disappointing and loses interest,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/14/2016 0:09,Russia,49,2,dog Owner,Dog playing,Trying to catch a mouse,capture,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/14/2016 2:50,Russia,21,Yes,The expert / professional,"Dog playing with a tablet. More specifically, interest in cooperation. Unfortunately, I did not understand whether the application responds / sensor on the dog's touch.",Attempts to communicate plays.,"Dog excited and interested. She tries to offer a behavior that it will, in cooperation with interested her subject.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/14/2016 3:17,Russia,17,There is now,dog Owner,"Dog, tablet",Playing ball on a plate,She is surprised by where the ball is taken,1,#VALUE!,1,#VALUE!,#VALUE!
5/14/2016 9:35,Russia,38,Yes,The expert / professional,Boss watches funny dog ??playing with a laser Mishnah on the tablet screen,"Dog tries to understand it, sniffing, trying to touch the paw","The dog is under stress. She does not understand what kind of object that moves, attracted her attention. 'Runs' and behaves, in fact, as 'production'. But no smell and it can not touch. These 'games' end with hysterical barking, neuroses. The point of time. It all depends on the breed, the dog and regularly temperampnta such entertainment.",1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/14/2016 9:51,Israel,34,Yes,dog Owner,Ostensibly for the dog game on the tablet,He is trying to catch something ...,"I do not understand where does that, and most importantly, where it then disappears. I think that this game does not teach a dog anything. But it looks funny)))",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/14/2016 16:56,Russia,41,Yes,dog Owner,A game,Playing,She likes,#VALUE!,4,You can not take a dog only such games,Interest,5
5/14/2016 23:06,Russia,34,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the tablet,Playing,"Interested, keen",#VALUE!,3,"I think that is not bad, but there is no special benefits","Interest, curiosity",4
5/14/2016 23:56,Russia,45,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Interest dog toy,Playing,She's busy,#VALUE!,3,Just I do not know whether it is useful,Interest,4
5/15/2016 3:39,Russia,17 years,And there,dog Owner,"""Playing"" with the tablet","That frightened, wants to take what there flies","Passionate about the game, but without getting something with which she plays, she loses interest",#VALUE!,3,"I believe that it is clearly not useful, but not so bad",Interest,3
5/15/2016 4:50,Russia,54,Yes,dog Owner,"tablet with electronic bunny. Wallpaper ""Wallpaper"" imitating the floor and light point","plays, trying to catch the bunny","In pevye minutes behaves cautiously, then actively begins to catch plays, and then the active movements paws trying to catch and irritated",#VALUE!,3,such games must take place under the supervision of mandatory and must be interrupted at the slightest sign of irritation,"fear, interest, fatigue",1
5/15/2016 10:23,Israel,39,there is,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",York plays iPads in cat game,"Responds to the ball: it is trying to catch him, to move, then it bounces when moving it. Those. she sees it as a real-life, not as a picture. Once looking at the owner / operator. At the end leaves.","First attempts to ""explain"" the ball, game-hunting behavior. At some point play tired.",#VALUE!,3,"Do not believe that electronic games are harmful, on the other hand specifically this game in my opinion do not develop, and the real ball over sensations.",moderate excitement,4
5/15/2016 13:16,Belarus,40,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing,trying to catch a moving dot on the screen,she is interested,#VALUE!,3,the game is not the final result,"the dog was initially interested, but did not get a specific result (do not get it ""extraction""), left ""disappointed.""",3
5/15/2016 17:52,Russia,41,There was and there is now 2,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","My little dog playing in these toys))) it is simply a maniac gadzhitov! This is a game for cats, such as a laser pointer.",Catches of the laser light spot.,She hunts)),#VALUE!,3,"I think it's not quite useful, as osobaka potnature hunter. And it is in any event to catch prey. And in these games is not an option.","I do not know what it feels this dog, but my playing this toy nachiaet go crazy)) is overexcited! And calm down then it is very difficult!",3
5/15/2016 18:14,Russia,27,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",the modern game Modern dogs,plays with virtual reality,"she does not understand that it is played, but it is keen",#VALUE!,2,"it does not develop physically, emotionally communicates with anyone. You can call this process - sticking.","deceit, deception interesting",2
5/15/2016 21:21,Russia,36,Yes,The expert / professional,playing behavior,Catches sunbeams.,Overexcitation.,#VALUE!,1,"Because no opportunity to meet before the end of the hunting behavior (poympt prey, take it to a private place). The dog behavior problems arise.",Frustration.,3
5/15/2016 22:39,Russia,26,Yes,Vet,"The dog responds to the moving object, the same reaction would have been, if only razdrozhitel rrosto was on the floor.",Trying to catch the razdrozhitel,The dog comes to excitement,#VALUE!,2,"This causes razdrozhitel usobaki nervous condition, the dog arrives in Stresa",Excitation,3
5/16/2016 1:05,USA,31,Yes,dog Owner,Dog tries to play a moving point on the tablet,"Dog tries to catch a moving point, as some animals react to a laser pointer",She fixate on a point which can not catch,#VALUE!,2,I'm such a behavior similar to the behavior in the Loop pointer animals,"Stress, obsession",3
5/16/2016 1:37,Ukraine,25,"""Their"" - not. but in the family - yes",basic zoopsychology,It shows how to tease the dog,disconsolately trying to deal with the stimulus,"Dog keen but nervous, trying to ""catch"" the ball",#VALUE!,2,"do not think that one / several such episodes can disrupt emotional dog organization, lead to disaster (so no 1). but by itself I see happening pampering. process having no meaning. unless perverse satisfaction from the authorities over the dog. but because unacceptable.","anger, confusion, frustration",2
5/16/2016 8:01,Russia,26,no,beginner,Dog tries to catch some thing on the plate,plays,her little scary,#VALUE!,3,nothing useful for the dog I saw little interest for dogs,interest was fear,5
5/16/2016 8:07,Russia,36,Yes,The expert / professional,"The plate on which the moving figure, and a dog who tries to touch the figure paw and teeth","Trying to touch the figure paw and teeth, and then looks at the man who shoots video.",She does not understand that this,#VALUE!,2,"Uses can not see, but I assume that this behavior can evolve into something less innocuous.",slight bewilderment,3
5/16/2016 9:50,Ukraine,31,Yes,dog Owner,dog playing,plays: trying to catch the light circle,dog clearly keen,#VALUE!,4,"usefulness in terms of acquiring skill or knowledge of the dog is minimal. but - she plays and she is interested in - ie, as entertainment, it is useful.","interest, excitement. but I do not know if it (because you can not catch) happy.",4
5/16/2016 10:17,UKRAINE,39,So,The expert / professional,dog Game,Playing,Useful psychological work and brain development,#VALUE!,5,The mental and psychological development of the dog - the basis of its quality of life with a man,"Interested, focused, positive",5
5/16/2016 10:28,Ukraine,29,Yes,dog Owner,"dog, whose owners planted a tablet",He is trying to track the movement of,nervous and hunts,#VALUE!,2,"because it is like to philosophize with children - confusion cuts the ground from under the feet normally and let the children it is possible to effect more rigid, but the dog also gradually formed a distrust of the environment",#NAME?,1
5/16/2016 14:11,Ukraine,26,no,beginner,"Dog plays with the tablet, which included a video or an application","He is trying to catch the white point, which moves on the screen",It amuses),#VALUE!,4,"it does not get new and useful skills, but she is busy with something, it does not interfere with the owners, while it is moving, which is good for health and hopefully she spend enough energy to sweet sleep through the night)",she kicks,4
5/16/2016 18:25,Russia,42,there is,dog Owner,dog interest,Dog tries to catch the moving point,she catches sunbeams,#VALUE!,4,my dog ??loves to catch the sun's glare,"interest, it is not excited, just playing",5
5/17/2016 22:10,Estonia,32,da,dog Owner,"ekran, gde dvizetsja tocka","zainteresovanna, pitaetsa poimat","nekoe vozbuzdenie, interes, azart",#VALUE!,3,"esli sobaka s legkovozbudimoi nervnoi sistemoi, to dannoe zanjatie ne ocenj horowo dlja nee","azart, interes",4
5/19/2016 19:16,Russia,24,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing the game on the tablet,pulls out ball,entertain,#VALUE!,4,Because dog fun,Joy,5
5/20/2016 12:44,Ukraine,26,Yes,dog Owner,Dog plays with the tablet,Dog plays with the tablet,hilarious,#VALUE!,3,"Who is not bad, but nothing useful",Interest,4
5/20/2016 12:44,Ukraine,26,Yes,dog Owner,Dog plays with the tablet,Dog plays with the tablet,hilarious,#VALUE!,3,"Who is not bad, but nothing useful",Interest,4
5/21/2016 5:44,Russia,28,Yes,dog Owner,As the dog plays cat game on the tablet,Trying to catch a virtual production,The dog is interested,#VALUE!,2,It is better to play with the dog owner,Some excitement,4
5/22/2016 23:09,Russia,29,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog interested in moving objects on the screen of the tablet lying on the floor and tries to interact with it,dog paws avail scraping plate and poked him in the nose in an attempt to catch a moving spot,"when a moving object enters the field of view molyavki gradually increased her physical and emotional tone, the dog focuses on the spot, active paws and nose, slowly, not reaching any particular outcome of interest is reduced, along with physical activity, and the dog goes away.",#VALUE!,2,"The dog is not possible to really influence the movement of a moving object, for it occurs randomly and unpredictably, it is seen that a few times a frightened dog bounces off the plate, there is no possibility of tactile activities vpechatleniy.Takaya has no result or of any outcome could further frustrate her lead in nervousness condition or chronic stress. Or the dog just lost interest. It is also not intelligent dogs are utilized capacity, the rate only on an instinctive response to an external stimulus.","Interest, excitement, fear, impatience, confusion",3
5/23/2016 8:47,Russia,33,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog Game,Dog plays with the point on the tablet screen,She enthusiastically watching point on the tablet screen and trying to trace the reaction point to touch her paw,#VALUE!,4,"Dog is interesting, it takes it, and so it develops cognitive abilities","Interests, hobbies",5
5/23/2016 14:22,Russian Federation,26 years,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog offered an electronic device and turned the game.,Attempts to take over a moving target.,She is interested and confused.,#VALUE!,1,no interaction with the host and can be trained to spoil things.,I think she's excited and confused,2
5/24/2016 10:11,Russia,33,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog Game,Dog plays with the point on the tablet screen,She enthusiastically watching point on the tablet screen and trying to trace the reaction point to touch her paw,#VALUE!,4,"Dog is interesting, it takes it, and so it develops cognitive abilities","Interests, hobbies",5
5/24/2016 18:25,Russia,27,Yes,dog Owner,Dog playing in the tablet,Dog playing in the tablet,Playing,#VALUE!,4,"Develops thinking dog. But I prefer to engage with the dog itself, without the aid of electronic devices.",passion,4
5/24/2016 18:29,Israel,56,Always,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog who is interested in the movements of ekrnane,Trying to catch a moving object,She was clearly involved in the game,#VALUE!,4,"Why not diversify the life of the pet, and children are now something like this take, so as not to interfere. Another thing is, these games have to be dosed, and combined with the real participation in the Games host.","She is keen, obviously in the grip of passion",5
5/24/2016 18:41,Russia,46,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog ""catches"" the point on the screen",He is trying to step on his paw escaping from her point,"The dog loses interest, because to cope with the problem can not be",#VALUE!,2,"Not good for the eyes, not useful for the psyche, the dog becomes not interesting. because it can not perform a task - to come to the point, for a while it may take a dog","First interest, then disappointment",3
5/24/2016 18:45,Russia,40,Now there,dog Owner,Some ball and voice of football or some other sport,He is trying to play with this ball,Emotional outbursts and a desire to play with this ball,#VALUE!,3,Dogs - are not people. They do not need electronic games.,The interest in the ball,3
5/24/2016 19:04,RF,40,Yes,The expert / professional,"Dog plays with the light beam. The principle of a laser pointer. The beam is not only the top, because not a dog does not lose sight of him bowing his head to it. And if a beam is not in the hands of man, then this toy dog ??can be accessed at any time, regardless of where the host is located.",Playing,He engaged in business,#VALUE!,4,Management of employment,Interest,4
5/24/2016 19:14,Austria,49,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with an electronic toy,"Iraheta, catches a moving image",Hunts,#VALUE!,4,"It seems to me that the best dogs to play with mechanical toys, but I'm not sure","Excitement, interest",4
5/24/2016 19:23,Ukraine,40,owner of 3 dogs,dog Owner,dog interested in the subject that moves on the screen,watches and catches the running around the object perceived by sight,it is able excitement plays,#VALUE!,3,"game lively, merry, but do not develop useful skills",interest in the subject,5
5/24/2016 19:28,Russia,31,Yes,dog Owner,The dog tries to grab an object moving on the screen of the tablet.,The dog tries to grab an object moving on the screen of the tablet,She tries to grab and does not understand why it is impossible,#VALUE!,1,I do not see the point - just to irritate the animal.,"I think she is in disbelief, it frustrates that her normal activities do not bring the usual results, she tries to act more actively.",1
5/24/2016 19:44,Ukraine,46,second dog,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",intellectual game,explores new item,"explores, learns new thinking, developing, growing",#VALUE!,5,the dog must be developed not only physically,"showing interest, care, surprise",4
5/24/2016 19:54,RF,36,Yes,dog Owner,Dog playing the game on the tablet),Attempts to control the ball,capture,#VALUE!,4,"It's great that the dog can carry away the game, but it is unlikely that my dog ??is such a possibility.",passion,5
5/24/2016 20:04,Russia,31,Yes,The expert / professional,Dog hunts for bright moving spot.,He wants to catch erratically moving spot (as if it's a bug or another something alive),"She is keen on ""hunting"".",#VALUE!,3,"It amuses her, makes her way out the natural instinct. But the catch is the spot and can not, then not be able to finish satisfy this instinct (as opposed, for example, by playing with the master of the ball). Long fruitless hunt for a spot can, in some cases, I believe, lead to frustration and compulsive behavior ....","She is interested in what is happening, it is in high spirits. Status: ""What is it?""",4
5/24/2016 20:14,Russia,22,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Playing dog,"He is trying to catch the point, playing with her","She was surprised and interested, her fun",#VALUE!,3,It is better to play with a man,Surprise and joy,5
5/24/2016 20:17,Russia,44,Yes,dog Owner,Learning object and trying to understand what it is and how to deal with it ...,Now watching the images and touch screen paw,"Sabak excited. Some of the actions on the screen frighten the dog, but curiosity gets the upper hand.",#VALUE!,1,Prolonged contact with a computer can cause stress in the dog and as a consequence of the behavior of destructively.,"Excitement, fear ...",1
5/24/2016 20:34,Russia,thirty,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the tablet,paw trying to catch a moving bright dot on the screen,"she plays at the end of a few puzzled / annoyed look, so how to get the ball running around it did not succeed",#VALUE!,3,"On the one hand, the dog is kind of like plays, she likes. But on the other hand, she was never able to get the cherished goal. No matter how much she tried, and it does not. I think it is finally upset and she stops playing.","First interest, then puzzled, like she likes her tail wagging periodically",4
5/24/2016 20:45,Russia,34,I now have 2 dogs,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Game animals on the plate,catches point,"She plays, she is excited",#VALUE!,3,"I do not think it's bad, but also in the use of doubt",Initiated more happily,4
5/24/2016 21:11,Russia,33,Yes,The expert / professional,I hope you will tell us why the test,overexcite,overexcite,#VALUE!,1,Just,Nothing,3
5/24/2016 22:11,Russia,27,There is now,dog Owner,"Dog plays with the light spot, as some dogs are playing with a laser pointer",Dog tries to catch the light spot,"Dog plays, hunts",#VALUE!,3,"I think that this game is not harmful to the dog, if you do not get involved very much",Dog fun,5
5/24/2016 22:12,Russia,34,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",on the screen of the tablet runs speck,"Trying to catch a spot on the tablet screen, plays with it",she is trying to catch something that is impossible to catch,#VALUE!,3,I think it's good and bad,"On the one hand the dog having fun on the other, it frustrates",3
5/24/2016 22:52,Russia,44,Now,dog Owner,The dog with the tablet,He is trying to take the ball,nervous,#VALUE!,2,"She does not play, nervous","Nervousness, resentment, misunderstanding",1
5/24/2016 22:55,Russia,25,"yes, there is now",dog Owner,dog's interaction with the game on the tablet,"He is trying to understand where there is a moving object, trying to catch him","Dog puzzled, thinking, interested in moving object on the screen of the tablet, but due to the fact that it can not touch and feel (touch) displays moving object uncertainty",#VALUE!,3,"Due to the fact that the dog was unable to catch a moving object, then pretty quickly lost interest in the process","Dog puzzled, thinking, interested in moving object on the screen of the tablet, but due to the fact that it can not touch and feel (touch) displays moving object uncertainty.",3
5/25/2016 1:14,Russia,42,Yes,dog Owner,Dog playing on a tablet,Catches sunbeam,Playing,#VALUE!,4,I do not know,Interest,5
5/25/2016 3:44,Russia,26,Yes,dog Owner,Dog tries to catch escaping from her target.,Playing,"She feels the excitement, interest, excitement that goes with the understanding that the purpose of it is impossible to catch",#VALUE!,4,"I find this game useful, because it develops the mental faculties, but I think that is not for every dog, trying to catch the thing, the excitement can be useful","excitement, interest, excitement",5
5/25/2016 9:13,Russia,'54,Always,dog Owner,Dog running after the cursor on the tablet,Second video is not found,Dog playing,#VALUE!,5,"The dog is happy, and she was not in danger.",Interest joy,4
5/25/2016 9:53,Russia,49,there is,dog Owner,the dog perceives the image on the tablet,Dog plays with the ball on a plate,She is interested,#VALUE!,3,"Game, but I'm not sure that it will attract the dog every day, and is not sure that it is useful",passion,3
5/25/2016 11:56,Russia,28,Now,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog and tablet,Playing,She natolkaetsya interest and playful mood,#VALUE!,3,I do not like gadgets,Interest,4
5/25/2016 12:58,Latvia,27,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","dog, cat playing in the game for ipad","He is trying to catch the point, running across the screen","it seems to her that from her point of running away, and she tries to catch the point",#VALUE!,3,"dog's actions do not lead to the desired result, because there is only a point on the screen and it is impossible to catch, grab teeth, feel the satisfaction and success of its actions","excitement, interest, possible irritation",3
5/25/2016 14:14,Russia,36,Yes,dog Owner,dog playing a game on the tablet,catching bright spot,plays,#VALUE!,3,"1. Expect to see something like the game panel, which would correspond to the length of the dog, ie to fit and large breeds.
2. A good solution in the absence of the owner.
3. The probability of outage host dog. Playing ""sunbeam"" using a mirror or laser flashlight involves the interaction, the tablet - no.","interest, excitement",5
5/25/2016 15:27,Russia,40,there is,dog Owner,"York plays ""cat"" game on the tablet",catches moves point,"I think on the one hand interested in dog play, and on the other wonders why can not grasp a moving object",#VALUE!,3,"I can not imagine what benefit can bring a similar game, but no harm can not see (for tablet)","interest, which passes at the end",4
5/25/2016 16:01,Russia,19,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog tries to interact with the image on iPads,"""_""",-,#VALUE!,3,I do not see very useful to this dog's skill,Interest,4
5/25/2016 23:04,Russia,21,Yes,The expert / professional,It is shown that a single dog game,Playing a moving point on the tablet screen,"The dog is interested, she likes to play in a similar way",#VALUE!,4,"Dogs are busy, she likes, but I think at the end of the video she loses interest in what happens",Interest in the moving object on the tablet screen,4
5/26/2016 0:09,Israel,54,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","extremely concerned dog interacts ""plays"" with Computers","dog trying to get a light bulb, moving on

computer screen.","the dog is very focused on the action, it is interesting, it is hardly distracted, when she was called, she raised her head and waved her tail, but then returned to his task. She is happy, but somewhat wary, behavior reminiscent of hunting.",#VALUE!,4,"The dog apparently thinks try different types of movements, when the ball disappears from the screen, trying to get it back to a specific location. Occupation pogloshaet all the attention at the end of the dog gets tired.","Interest, alertness, perhaps, frustration, catch what you can not",4
5/26/2016 2:47,South Korea,39,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the moving bunny on the tablet screen,Playing (trying to catch the bunny),She is excited game and swallowed it,#VALUE!,5,The dog is focused on the game and play it like,Excitation in the game,4
5/26/2016 6:03,RF,thirty,Yes,dog Owner,"The hosts mock tablet, hoping to soon throw. Claws on the screen is cruel","plays, explores",she was interested,#VALUE!,2,Movement at least with the same success can be monitored on the street for cats / birds / sausage in your hand the host,"interest, excitement",4
5/26/2016 11:48,Russia,41,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with an object on the tablet,"He is trying to hunt on a moving point, shown on the tablet","The dog is interested, excited, but not overly so - reacts to man.",#VALUE!,2,"At the moment, the dog is busy ""thing"", but I believe that the game directly with the owner of the dog is much more useful for the psyche.","Excitement tends to dig up the object, but a little afraid of it (jumps to the side).",4
5/26/2016 22:00,Russia,52,Yes,dog Owner,dog Game,Catches the ball on a plate,The dog sees the ball and catches it,#VALUE!,4,"I do not think it is very useful, but the dog is busy and that's good.",Excitation,5
5/29/2016 4:59,Russia,50,Four,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",As the dog showed the game on the tablet,Trying to catch the white ball as if it was a ray of sunlight or light from a laser pointer,He does not understand how to grab the ball so even scratching paws,#VALUE!,4,The dog is interested,What can not catch the ball that sees but does not feel any smell or paws,3
5/29/2016 21:45,Russia,32,She grew up with a dog from 4 to 19 years,dog Owner,The dog with the tablet?)) Or someone playing with the dog laser pointer.,Trying to catch the moving point,"Dog worried, it does not seem that it plays",#VALUE!,3,"I do not see the desired behavior of any dog, nor for the host.",experiencing,3
5/6/2016 5:13,Russia,40,there is,dog Owner,Holiday dog,He tries to get the ball,interest,#VALUE!,1,It only teases the dog,helplessness,3
06.07.2016 17:06:07,Russia,43,Yes,dog Owner,sunbeam on the tablet,catches a sunbeam,dog busy,#VALUE!,3,Would the child be put 1 -not just a dog person. so let indulges,apparently happy. interest,4
6/14/2016 11:41,Russia,34,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The decision of some puzzles dog.,"Dog tries to catch the existing ""ball"".","In my opinion neither of which, except as a continuation of the same attempts to catch a moving point.",#VALUE!,1,"The object is not real and it is unlikely that anything will teach a dog, or give her the satisfaction of the game / prey.","Surprise, and then indifference to the subject.",1
6/23/2016 0:34,Russia,15,Yes,dog Owner,Dog playing,Playing in the tablet,Nothing,#VALUE!,3,"Because in this game, there is nothing useful and not useful",Positive emotions,5
6/26/2016 14:57,Rossich,51,Yes,dog Owner,dog interest,Playing,Thinks,#VALUE!,5,Liked,Interest,5
07.08.2016 17:01:21,Slovenia,43,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog's reaction to the game application,"Playing, trying to catch the ""rabbit"" laser pointer",She is very involved,#VALUE!,3,it is not harmful and not helpful,passion,5
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,16,7,97,14,19
